Document,Path,Term,Definition
טיפולישיניים,,הפוליסה,"הסכם על כל התנאים והתנאים הכלולים עפ""י מכרז – ביטוח שיניים והנספחים המצורפים אליו."
טיפולישיניים,,בעל הפוליסה,משרד העבודה והרווחה.
טיפולישיניים,,פנימיה,"מוסד ילדים, משפחה אומנת, הוסטל או כל מסגרת אשר בה נמצאים חניכים כולל לינה שהופנו ע""י משרד העבודה והרווחה או ע""י שירותי הרווחה של הרשות המקומית או חניכים בפנימיות אשר משרד העבודה והרווחה משתתף במימון אחזקתם."
טיפולישיניים,,רופא מוסכם,רופא שיניים הקשור עם המבטח בהסכם למתן שירותים לפי הפוליסה למבוטחיו של המבטח.
מענקים לילדים יתומים,,ילד יתום,ילד שאביו או אמו נפטרו.
מענקים לילדים יתומים,,ילד נטוש,"ילד שנעזב ע""י שני הוריו, או שניטש ע""י הורה אחד וההורה השני נעדר או אינו גר עמו, ונבצר ממנו למלא דרך קבע את חובותיו כלפי הילד."
נוהל עבודה חבצלת פיגועים,,"""חבצלת פיגועים""","שם קוד לפעילות הכרוכה בהבאה לקבורה של חלל שנהרג בארץ או בחו""ל כתוצאה מפיגוע חבלני/פעולת איבה."
נוהל עבודה חבצלת פיגועים,,המוסד לביטוח לאומי,האחראי מטעם המוסד לביטוח לאומי על קיום נוהל זה הוא ראש אגף נפגעי פעולות איבה וראש אגף השיקום.
נוהל עבודה חבצלת פיגועים,,משרד הפנים,"הוא הגוף האחראי על תיאום וביצוע נוהל ""חבצלת פיגועים"" בין הגופים והמשרדים השונים, באמצעות הרשות המקומית אשר בתחומה אירע הפיגוע החבלני/פעולת איבה."
נוהל עבודה חבצלת פיגועים,,הממונה,מי שמונה על-ידי משרד הפנים כאחראי על ביצוע נוהל זה.
נוהל עבודה חבצלת פיגועים,,הרשות המקומית,ההתייחסות אל הרשות המקומית הנה על פי העניין:
נוהל עבודה חבצלת פיגועים,,רשות מקומית – כל הרשויות המקומיות,"עיריות, מועצות מקומיות או מועצות אזוריות. המחויבות לביצוע נוהל ""חבצלת פיגועים""."
